power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
19.93 W, 6 MiB, 0 %, 0 %
27.09 W, 81 MiB, 0 %, 0 %
66.57 W, 81 MiB, 57 %, 0 %
70.32 W, 81 MiB, 57 %, 0 %
71.09 W, 81 MiB, 100 %, 0 %
70.32 W, 81 MiB, 100 %, 0 %
70.32 W, 81 MiB, 100 %, 0 %
73.21 W, 81 MiB, 100 %, 0 %
72.82 W, 81 MiB, 100 %, 0 %
72.53 W, 81 MiB, 100 %, 0 %
70.99 W, 81 MiB, 100 %, 0 %
71.18 W, 81 MiB, 100 %, 0 %
70.60 W, 81 MiB, 100 %, 0 %
70.32 W, 81 MiB, 100 %, 0 %
73.50 W, 81 MiB, 100 %, 0 %
73.11 W, 81 MiB, 100 %, 0 %
72.24 W, 81 MiB, 100 %, 0 %
70.80 W, 81 MiB, 100 %, 0 %
71.09 W, 81 MiB, 100 %, 0 %
71.09 W, 81 MiB, 100 %, 0 %
70.80 W, 81 MiB, 100 %, 0 %
73.40 W, 81 MiB, 100 %, 0 %
73.60 W, 81 MiB, 100 %, 0 %
72.15 W, 81 MiB, 100 %, 0 %
70.60 W, 81 MiB, 100 %, 0 %
70.80 W, 81 MiB, 100 %, 0 %
71.47 W, 81 MiB, 100 %, 0 %
71.09 W, 81 MiB, 100 %, 0 %
73.40 W, 81 MiB, 100 %, 0 %
73.59 W, 81 MiB, 100 %, 0 %
71.95 W, 81 MiB, 100 %, 0 %
70.51 W, 81 MiB, 100 %, 0 %
70.60 W, 81 MiB, 100 %, 0 %
72.14 W, 81 MiB, 100 %, 0 %
71.57 W, 81 MiB, 100 %, 0 %
73.11 W, 81 MiB, 100 %, 0 %
71.47 W, 81 MiB, 100 %, 0 %
71.66 W, 81 MiB, 100 %, 0 %
70.32 W, 81 MiB, 100 %, 0 %
70.60 W, 81 MiB, 100 %, 0 %
72.53 W, 81 MiB, 100 %, 0 %
71.95 W, 81 MiB, 100 %, 0 %
72.92 W, 81 MiB, 100 %, 0 %
71.37 W, 81 MiB, 100 %, 0 %
71.47 W, 81 MiB, 100 %, 0 %
70.32 W, 81 MiB, 100 %, 0 %
70.32 W, 81 MiB, 100 %, 0 %
73.01 W, 81 MiB, 100 %, 0 %
4.86842942237854
