power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
19.74 W, 6 MiB, 0 %, 0 %
21.87 W, 17 MiB, 0 %, 0 %
24.96 W, 19 MiB, 0 %, 0 %
81.97 W, 242 MiB, 30 %, 11 %
93.46 W, 242 MiB, 30 %, 11 %
100.95 W, 242 MiB, 95 %, 36 %
98.64 W, 161 MiB, 95 %, 36 %
105.50 W, 161 MiB, 95 %, 36 %
102.53 W, 161 MiB, 95 %, 36 %
104.54 W, 161 MiB, 95 %, 36 %
106.28 W, 161 MiB, 95 %, 36 %
99.95 W, 161 MiB, 95 %, 36 %
103.21 W, 242 MiB, 95 %, 36 %
95.57 W, 242 MiB, 95 %, 36 %
97.86 W, 242 MiB, 95 %, 36 %
99.31 W, 242 MiB, 95 %, 36 %
97.29 W, 161 MiB, 95 %, 36 %
104.55 W, 161 MiB, 95 %, 35 %
102.27 W, 161 MiB, 95 %, 35 %
102.85 W, 161 MiB, 96 %, 36 %
104.46 W, 161 MiB, 95 %, 36 %
94.71 W, 242 MiB, 95 %, 36 %
97.48 W, 242 MiB, 95 %, 36 %
99.79 W, 242 MiB, 95 %, 36 %
97.67 W, 161 MiB, 96 %, 36 %
95.94 W, 161 MiB, 95 %, 36 %
103.91 W, 161 MiB, 95 %, 36 %
101.72 W, 161 MiB, 94 %, 36 %
103.98 W, 161 MiB, 94 %, 36 %
106.47 W, 161 MiB, 95 %, 36 %
98.54 W, 242 MiB, 95 %, 36 %
102.17 W, 242 MiB, 95 %, 36 %
96.51 W, 242 MiB, 95 %, 36 %
96.64 W, 242 MiB, 95 %, 36 %
100.85 W, 242 MiB, 95 %, 36 %
98.15 W, 242 MiB, 95 %, 36 %
95.74 W, 161 MiB, 95 %, 36 %
79.39 W, 6 MiB, 90 %, 32 %
3.7632877826690674
