power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
21.00 W, 6 MiB, 0 %, 0 %
23.61 W, 17 MiB, 0 %, 0 %
21.39 W, 17 MiB, 0 %, 0 %
21.19 W, 19 MiB, 0 %, 0 %
59.24 W, 1280 MiB, 19 %, 1 %
99.74 W, 1280 MiB, 19 %, 1 %
117.63 W, 1280 MiB, 96 %, 12 %
119.90 W, 1280 MiB, 96 %, 12 %
120.45 W, 1280 MiB, 100 %, 19 %
120.65 W, 1280 MiB, 100 %, 19 %
120.84 W, 1280 MiB, 100 %, 19 %
120.74 W, 1280 MiB, 100 %, 20 %
120.94 W, 1280 MiB, 100 %, 20 %
120.84 W, 1280 MiB, 100 %, 20 %
120.94 W, 1280 MiB, 100 %, 20 %
120.65 W, 1280 MiB, 100 %, 20 %
120.84 W, 1280 MiB, 100 %, 19 %
120.94 W, 1280 MiB, 100 %, 19 %
120.94 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
120.84 W, 1280 MiB, 100 %, 20 %
120.94 W, 1280 MiB, 100 %, 20 %
120.94 W, 1280 MiB, 100 %, 19 %
120.94 W, 1280 MiB, 100 %, 19 %
120.94 W, 1280 MiB, 100 %, 20 %
120.94 W, 1280 MiB, 100 %, 20 %
120.65 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 19 %
121.03 W, 1280 MiB, 100 %, 19 %
121.03 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
120.84 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 19 %
119.94 W, 1280 MiB, 100 %, 19 %
120.29 W, 1280 MiB, 100 %, 18 %
120.84 W, 1280 MiB, 100 %, 18 %
121.22 W, 1280 MiB, 100 %, 19 %
121.22 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.32 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 19 %
121.13 W, 1280 MiB, 100 %, 19 %
121.22 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
120.00 W, 1280 MiB, 100 %, 19 %
120.36 W, 1280 MiB, 100 %, 19 %
120.84 W, 1280 MiB, 100 %, 18 %
121.13 W, 1280 MiB, 100 %, 18 %
121.13 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.32 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
120.65 W, 1280 MiB, 100 %, 19 %
121.22 W, 1280 MiB, 100 %, 19 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 19 %
121.13 W, 1280 MiB, 100 %, 19 %
120.84 W, 1280 MiB, 100 %, 19 %
121.13 W, 1280 MiB, 100 %, 19 %
121.42 W, 1280 MiB, 100 %, 19 %
121.13 W, 1280 MiB, 100 %, 20 %
121.22 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.03 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.13 W, 1280 MiB, 100 %, 20 %
121.32 W, 1280 MiB, 100 %, 20 %
121.32 W, 1280 MiB, 100 %, 20 %
