power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.42 W, 6 MiB, 0 %, 0 %
26.99 W, 24 MiB, 0 %, 0 %
57.90 W, 88 MiB, 5 %, 0 %
61.27 W, 88 MiB, 5 %, 0 %
61.84 W, 88 MiB, 0 %, 0 %
61.94 W, 88 MiB, 0 %, 0 %
62.04 W, 88 MiB, 0 %, 0 %
62.04 W, 88 MiB, 0 %, 0 %
62.04 W, 88 MiB, 0 %, 0 %
62.04 W, 88 MiB, 0 %, 0 %
62.04 W, 88 MiB, 0 %, 0 %
62.13 W, 5179 MiB, 0 %, 0 %
62.04 W, 5179 MiB, 0 %, 0 %
62.13 W, 5179 MiB, 0 %, 0 %
66.73 W, 5179 MiB, 0 %, 0 %
68.26 W, 5179 MiB, 75 %, 4 %
115.42 W, 5179 MiB, 75 %, 4 %
130.97 W, 5179 MiB, 95 %, 55 %
134.03 W, 5179 MiB, 95 %, 55 %
132.23 W, 5179 MiB, 100 %, 75 %
131.30 W, 5179 MiB, 100 %, 75 %
120.34 W, 5179 MiB, 100 %, 69 %
132.98 W, 5179 MiB, 98 %, 66 %
134.90 W, 5179 MiB, 98 %, 66 %
135.25 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 75 %
131.96 W, 5179 MiB, 100 %, 70 %
130.52 W, 5179 MiB, 99 %, 66 %
134.71 W, 5179 MiB, 99 %, 66 %
135.25 W, 5179 MiB, 100 %, 75 %
133.18 W, 5179 MiB, 100 %, 75 %
132.35 W, 5179 MiB, 100 %, 72 %
125.56 W, 5179 MiB, 99 %, 65 %
133.55 W, 5179 MiB, 99 %, 65 %
135.09 W, 5179 MiB, 100 %, 75 %
135.28 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 73 %
131.96 W, 5179 MiB, 100 %, 73 %
131.55 W, 5179 MiB, 100 %, 67 %
134.71 W, 5179 MiB, 99 %, 71 %
135.25 W, 5179 MiB, 99 %, 71 %
133.37 W, 5179 MiB, 100 %, 75 %
132.06 W, 5179 MiB, 100 %, 75 %
124.35 W, 5179 MiB, 100 %, 67 %
133.94 W, 5179 MiB, 99 %, 69 %
135.06 W, 5179 MiB, 99 %, 69 %
135.25 W, 5179 MiB, 100 %, 75 %
132.51 W, 5179 MiB, 100 %, 75 %
132.25 W, 5179 MiB, 100 %, 69 %
131.36 W, 5179 MiB, 100 %, 69 %
134.99 W, 5179 MiB, 99 %, 68 %
135.30 W, 5179 MiB, 100 %, 75 %
133.18 W, 5179 MiB, 100 %, 75 %
132.44 W, 5179 MiB, 100 %, 70 %
126.33 W, 5179 MiB, 100 %, 70 %
133.84 W, 5179 MiB, 99 %, 66 %
135.14 W, 5179 MiB, 100 %, 75 %
135.31 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 72 %
132.16 W, 5179 MiB, 100 %, 72 %
131.94 W, 5179 MiB, 99 %, 65 %
134.80 W, 5179 MiB, 99 %, 65 %
135.35 W, 5179 MiB, 100 %, 75 %
133.08 W, 5179 MiB, 100 %, 74 %
132.45 W, 5179 MiB, 100 %, 74 %
125.75 W, 5179 MiB, 100 %, 67 %
134.13 W, 5179 MiB, 100 %, 67 %
135.06 W, 5179 MiB, 99 %, 71 %
135.30 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 75 %
132.16 W, 5179 MiB, 100 %, 68 %
131.54 W, 5179 MiB, 100 %, 68 %
135.02 W, 5179 MiB, 99 %, 69 %
135.30 W, 5179 MiB, 99 %, 69 %
133.08 W, 5179 MiB, 100 %, 75 %
132.35 W, 5179 MiB, 100 %, 69 %
124.64 W, 5179 MiB, 100 %, 69 %
133.55 W, 5179 MiB, 98 %, 66 %
135.06 W, 5179 MiB, 98 %, 66 %
135.35 W, 5179 MiB, 100 %, 75 %
132.64 W, 5179 MiB, 100 %, 71 %
132.25 W, 5179 MiB, 100 %, 71 %
131.92 W, 5179 MiB, 99 %, 66 %
134.80 W, 5179 MiB, 99 %, 66 %
135.21 W, 5179 MiB, 100 %, 75 %
133.46 W, 5179 MiB, 100 %, 75 %
132.44 W, 5179 MiB, 100 %, 73 %
124.02 W, 5179 MiB, 98 %, 65 %
134.04 W, 5179 MiB, 98 %, 65 %
135.21 W, 5179 MiB, 100 %, 74 %
135.21 W, 5179 MiB, 100 %, 74 %
132.61 W, 5179 MiB, 100 %, 74 %
132.45 W, 5179 MiB, 100 %, 67 %
131.26 W, 5179 MiB, 100 %, 67 %
134.90 W, 5179 MiB, 99 %, 70 %
135.34 W, 5179 MiB, 99 %, 70 %
133.37 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 75 %
126.08 W, 5179 MiB, 100 %, 68 %
134.32 W, 5179 MiB, 99 %, 68 %
135.05 W, 5179 MiB, 99 %, 68 %
135.35 W, 5179 MiB, 100 %, 75 %
132.64 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 70 %
131.55 W, 5179 MiB, 99 %, 67 %
134.90 W, 5179 MiB, 99 %, 67 %
135.45 W, 5179 MiB, 100 %, 75 %
133.27 W, 5179 MiB, 100 %, 75 %
132.35 W, 5179 MiB, 100 %, 72 %
126.01 W, 5179 MiB, 99 %, 65 %
133.75 W, 5179 MiB, 99 %, 65 %
135.02 W, 5179 MiB, 100 %, 75 %
135.35 W, 5179 MiB, 100 %, 75 %
132.73 W, 5179 MiB, 100 %, 74 %
132.26 W, 5179 MiB, 100 %, 74 %
131.36 W, 5179 MiB, 100 %, 67 %
134.80 W, 5179 MiB, 99 %, 70 %
135.40 W, 5179 MiB, 99 %, 70 %
133.75 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 75 %
125.63 W, 5179 MiB, 100 %, 68 %
133.65 W, 5179 MiB, 99 %, 69 %
135.14 W, 5179 MiB, 99 %, 69 %
135.40 W, 5179 MiB, 100 %, 75 %
132.64 W, 5179 MiB, 100 %, 75 %
132.26 W, 5179 MiB, 100 %, 70 %
131.07 W, 5179 MiB, 100 %, 70 %
134.90 W, 5179 MiB, 99 %, 67 %
135.30 W, 5179 MiB, 100 %, 75 %
133.75 W, 5179 MiB, 100 %, 75 %
132.35 W, 5179 MiB, 100 %, 71 %
129.29 W, 5179 MiB, 100 %, 71 %
133.08 W, 5179 MiB, 99 %, 63 %
135.06 W, 5179 MiB, 100 %, 75 %
135.35 W, 5179 MiB, 100 %, 75 %
132.89 W, 5179 MiB, 100 %, 74 %
132.35 W, 5179 MiB, 100 %, 74 %
128.41 W, 5179 MiB, 100 %, 67 %
134.51 W, 5179 MiB, 99 %, 70 %
135.35 W, 5179 MiB, 99 %, 70 %
134.29 W, 5179 MiB, 100 %, 75 %
132.51 W, 5179 MiB, 100 %, 75 %
132.16 W, 5179 MiB, 100 %, 68 %
132.02 W, 5179 MiB, 100 %, 68 %
135.06 W, 5179 MiB, 99 %, 68 %
135.25 W, 5179 MiB, 100 %, 75 %
133.08 W, 5179 MiB, 100 %, 75 %
132.16 W, 5179 MiB, 100 %, 70 %
126.01 W, 5179 MiB, 100 %, 70 %
134.32 W, 5179 MiB, 98 %, 66 %
135.25 W, 5179 MiB, 100 %, 75 %
135.25 W, 5179 MiB, 100 %, 75 %
132.73 W, 5179 MiB, 100 %, 72 %
132.26 W, 5179 MiB, 100 %, 72 %
131.17 W, 5179 MiB, 99 %, 65 %
135.00 W, 5179 MiB, 99 %, 65 %
135.40 W, 5179 MiB, 100 %, 75 %
133.46 W, 5179 MiB, 100 %, 74 %
132.45 W, 5179 MiB, 100 %, 74 %
124.54 W, 5179 MiB, 100 %, 67 %
133.65 W, 5179 MiB, 100 %, 67 %
135.12 W, 5179 MiB, 99 %, 70 %
135.30 W, 5179 MiB, 100 %, 75 %
132.73 W, 5179 MiB, 100 %, 75 %
132.25 W, 5179 MiB, 100 %, 69 %
130.24 W, 5179 MiB, 100 %, 69 %
134.61 W, 5179 MiB, 99 %, 68 %
135.35 W, 5179 MiB, 99 %, 68 %
133.94 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 71 %
130.71 W, 5179 MiB, 100 %, 71 %
132.98 W, 5179 MiB, 99 %, 66 %
135.06 W, 5179 MiB, 99 %, 66 %
135.30 W, 5179 MiB, 100 %, 75 %
132.92 W, 5179 MiB, 100 %, 73 %
132.25 W, 5179 MiB, 100 %, 73 %
128.60 W, 5179 MiB, 100 %, 67 %
134.32 W, 5179 MiB, 100 %, 67 %
135.45 W, 5179 MiB, 99 %, 71 %
135.35 W, 5179 MiB, 100 %, 75 %
132.64 W, 5179 MiB, 100 %, 75 %
132.16 W, 5179 MiB, 100 %, 68 %
131.94 W, 5179 MiB, 100 %, 68 %
134.80 W, 5179 MiB, 99 %, 69 %
135.54 W, 5179 MiB, 99 %, 69 %
133.29 W, 5179 MiB, 100 %, 75 %
132.16 W, 5179 MiB, 100 %, 70 %
123.30 W, 5179 MiB, 100 %, 70 %
133.36 W, 5179 MiB, 99 %, 65 %
135.26 W, 5179 MiB, 99 %, 65 %
135.45 W, 5179 MiB, 100 %, 75 %
132.70 W, 5179 MiB, 100 %, 72 %
132.16 W, 5179 MiB, 100 %, 72 %
130.43 W, 5179 MiB, 99 %, 64 %
134.61 W, 5179 MiB, 99 %, 64 %
135.45 W, 5179 MiB, 100 %, 75 %
135.06 W, 5179 MiB, 100 %, 74 %
132.54 W, 5179 MiB, 100 %, 74 %
132.35 W, 5179 MiB, 100 %, 67 %
132.88 W, 5179 MiB, 100 %, 67 %
135.06 W, 5179 MiB, 99 %, 70 %
135.50 W, 5179 MiB, 99 %, 70 %
133.08 W, 5179 MiB, 100 %, 75 %
132.35 W, 5179 MiB, 100 %, 69 %
128.32 W, 5179 MiB, 100 %, 69 %
134.32 W, 5179 MiB, 99 %, 68 %
135.26 W, 5179 MiB, 99 %, 68 %
135.50 W, 5179 MiB, 100 %, 75 %
132.73 W, 5179 MiB, 100 %, 71 %
132.35 W, 5179 MiB, 100 %, 71 %
132.02 W, 5179 MiB, 99 %, 65 %
134.92 W, 5179 MiB, 99 %, 65 %
135.50 W, 5179 MiB, 100 %, 75 %
133.75 W, 5179 MiB, 100 %, 75 %
132.32 W, 5179 MiB, 100 %, 73 %
130.01 W, 5179 MiB, 100 %, 67 %
133.65 W, 5179 MiB, 100 %, 67 %
135.12 W, 5179 MiB, 99 %, 71 %
135.40 W, 5179 MiB, 99 %, 71 %
132.99 W, 5179 MiB, 100 %, 75 %
132.35 W, 5179 MiB, 100 %, 68 %
127.36 W, 5179 MiB, 100 %, 68 %
134.42 W, 5179 MiB, 98 %, 68 %
135.21 W, 5179 MiB, 98 %, 68 %
135.35 W, 5179 MiB, 100 %, 75 %
132.70 W, 5179 MiB, 100 %, 70 %
132.35 W, 5179 MiB, 100 %, 70 %
131.75 W, 5179 MiB, 99 %, 66 %
135.12 W, 5179 MiB, 99 %, 66 %
135.50 W, 5179 MiB, 100 %, 75 %
133.56 W, 5179 MiB, 100 %, 75 %
132.64 W, 5179 MiB, 100 %, 72 %
124.79 W, 5179 MiB, 99 %, 66 %
134.04 W, 5179 MiB, 99 %, 66 %
135.21 W, 5179 MiB, 100 %, 73 %
135.59 W, 5179 MiB, 100 %, 73 %
132.80 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 67 %
130.21 W, 5179 MiB, 100 %, 67 %
134.87 W, 5179 MiB, 99 %, 69 %
135.50 W, 5179 MiB, 99 %, 69 %
134.13 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 75 %
132.06 W, 5179 MiB, 100 %, 69 %
131.73 W, 5179 MiB, 99 %, 65 %
135.12 W, 5179 MiB, 99 %, 65 %
135.54 W, 5179 MiB, 100 %, 75 %
133.47 W, 5179 MiB, 100 %, 75 %
132.25 W, 5179 MiB, 100 %, 72 %
126.33 W, 5179 MiB, 99 %, 65 %
134.42 W, 5179 MiB, 99 %, 65 %
135.31 W, 5179 MiB, 100 %, 75 %
135.59 W, 5179 MiB, 100 %, 75 %
132.83 W, 5179 MiB, 100 %, 74 %
132.45 W, 5179 MiB, 100 %, 67 %
130.59 W, 5179 MiB, 100 %, 67 %
134.97 W, 5179 MiB, 99 %, 70 %
135.40 W, 5179 MiB, 99 %, 70 %
134.04 W, 5179 MiB, 100 %, 75 %
132.64 W, 5179 MiB, 100 %, 75 %
131.58 W, 5182 MiB, 100 %, 69 %
132.79 W, 5179 MiB, 99 %, 67 %
135.06 W, 5179 MiB, 99 %, 67 %
135.50 W, 5179 MiB, 100 %, 75 %
133.37 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 71 %
127.55 W, 5179 MiB, 99 %, 65 %
134.61 W, 5179 MiB, 99 %, 65 %
135.40 W, 5179 MiB, 100 %, 75 %
135.40 W, 5179 MiB, 100 %, 75 %
132.70 W, 5179 MiB, 100 %, 73 %
132.35 W, 5179 MiB, 100 %, 73 %
131.36 W, 5179 MiB, 100 %, 67 %
135.02 W, 5179 MiB, 99 %, 70 %
135.40 W, 5179 MiB, 99 %, 70 %
133.66 W, 5179 MiB, 100 %, 75 %
132.73 W, 5179 MiB, 100 %, 75 %
124.93 W, 5179 MiB, 100 %, 68 %
133.56 W, 5179 MiB, 99 %, 68 %
135.31 W, 5179 MiB, 99 %, 68 %
135.40 W, 5179 MiB, 100 %, 75 %
132.99 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 70 %
129.37 W, 5179 MiB, 100 %, 70 %
134.23 W, 5179 MiB, 99 %, 66 %
135.40 W, 5179 MiB, 100 %, 75 %
135.40 W, 5179 MiB, 100 %, 75 %
132.83 W, 5179 MiB, 100 %, 73 %
132.26 W, 5179 MiB, 100 %, 73 %
132.31 W, 5179 MiB, 100 %, 67 %
135.00 W, 5179 MiB, 99 %, 71 %
135.50 W, 5179 MiB, 99 %, 71 %
133.95 W, 5179 MiB, 100 %, 75 %
132.54 W, 5179 MiB, 100 %, 75 %
127.69 W, 5179 MiB, 100 %, 68 %
133.84 W, 5179 MiB, 100 %, 68 %
135.16 W, 5179 MiB, 99 %, 69 %
135.45 W, 5179 MiB, 100 %, 75 %
133.09 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 70 %
126.49 W, 5179 MiB, 100 %, 70 %
134.42 W, 5179 MiB, 99 %, 65 %
135.45 W, 5179 MiB, 100 %, 75 %
135.54 W, 5179 MiB, 100 %, 75 %
132.80 W, 5179 MiB, 100 %, 72 %
132.35 W, 5179 MiB, 100 %, 72 %
131.46 W, 5179 MiB, 99 %, 66 %
134.97 W, 5179 MiB, 99 %, 72 %
135.50 W, 5179 MiB, 99 %, 72 %
133.75 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 75 %
125.70 W, 5179 MiB, 100 %, 67 %
133.27 W, 5179 MiB, 100 %, 67 %
135.26 W, 5179 MiB, 99 %, 69 %
135.50 W, 5179 MiB, 100 %, 75 %
133.18 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 69 %
128.70 W, 5179 MiB, 100 %, 69 %
134.42 W, 5179 MiB, 99 %, 67 %
135.40 W, 5179 MiB, 100 %, 75 %
135.69 W, 5179 MiB, 100 %, 75 %
132.73 W, 5179 MiB, 100 %, 72 %
132.45 W, 5179 MiB, 100 %, 72 %
131.55 W, 5179 MiB, 98 %, 64 %
134.97 W, 5179 MiB, 98 %, 64 %
135.40 W, 5179 MiB, 100 %, 75 %
134.14 W, 5179 MiB, 100 %, 74 %
132.54 W, 5179 MiB, 100 %, 74 %
132.35 W, 5179 MiB, 100 %, 67 %
133.65 W, 5179 MiB, 100 %, 67 %
135.26 W, 5179 MiB, 99 %, 70 %
135.59 W, 5179 MiB, 100 %, 75 %
133.37 W, 5179 MiB, 100 %, 75 %
132.45 W, 5179 MiB, 100 %, 69 %
127.17 W, 5179 MiB, 100 %, 69 %
134.61 W, 5179 MiB, 99 %, 67 %
135.30 W, 5179 MiB, 99 %, 67 %
135.50 W, 5179 MiB, 100 %, 75 %
132.90 W, 5179 MiB, 100 %, 71 %
132.45 W, 5179 MiB, 100 %, 71 %
131.16 W, 5179 MiB, 99 %, 65 %
134.92 W, 5179 MiB, 99 %, 65 %
135.50 W, 5179 MiB, 100 %, 75 %
133.95 W, 5179 MiB, 100 %, 74 %
