power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
19.74 W, 6 MiB, 0 %, 0 %
26.12 W, 80 MiB, 0 %, 0 %
56.65 W, 462 MiB, 1 %, 0 %
87.37 W, 462 MiB, 36 %, 10 %
110.78 W, 462 MiB, 36 %, 10 %
113.66 W, 462 MiB, 100 %, 39 %
76.90 W, 462 MiB, 100 %, 39 %
63.19 W, 462 MiB, 49 %, 15 %
61.46 W, 462 MiB, 49 %, 15 %
106.66 W, 462 MiB, 0 %, 0 %
98.92 W, 462 MiB, 89 %, 48 %
65.76 W, 462 MiB, 89 %, 48 %
61.74 W, 462 MiB, 8 %, 0 %
106.79 W, 462 MiB, 8 %, 0 %
87.46 W, 462 MiB, 39 %, 27 %
65.48 W, 462 MiB, 34 %, 16 %
101.81 W, 462 MiB, 34 %, 16 %
67.99 W, 462 MiB, 59 %, 44 %
107.28 W, 462 MiB, 59 %, 44 %
89.28 W, 462 MiB, 40 %, 34 %
64.53 W, 462 MiB, 23 %, 10 %
125.65 W, 462 MiB, 23 %, 10 %
74.62 W, 462 MiB, 75 %, 50 %
106.27 W, 462 MiB, 75 %, 50 %
77.28 W, 462 MiB, 52 %, 42 %
88.02 W, 462 MiB, 26 %, 14 %
91.46 W, 462 MiB, 26 %, 14 %
64.89 W, 462 MiB, 45 %, 29 %
105.60 W, 462 MiB, 45 %, 29 %
67.12 W, 462 MiB, 56 %, 43 %
119.66 W, 462 MiB, 56 %, 43 %
74.24 W, 462 MiB, 57 %, 49 %
107.11 W, 462 MiB, 47 %, 34 %
69.22 W, 462 MiB, 47 %, 34 %
106.28 W, 462 MiB, 20 %, 9 %
83.24 W, 462 MiB, 20 %, 9 %
64.90 W, 271 MiB, 62 %, 46 %
3.7117574214935303
