power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.71 W, 6 MiB, 0 %, 0 %
21.00 W, 6 MiB, 0 %, 0 %
26.90 W, 19 MiB, 0 %, 0 %
89.70 W, 367 MiB, 25 %, 2 %
118.34 W, 367 MiB, 25 %, 2 %
123.83 W, 367 MiB, 100 %, 25 %
125.72 W, 367 MiB, 100 %, 38 %
125.33 W, 367 MiB, 100 %, 38 %
126.48 W, 367 MiB, 100 %, 41 %
126.19 W, 367 MiB, 100 %, 41 %
126.77 W, 367 MiB, 100 %, 42 %
127.89 W, 367 MiB, 100 %, 42 %
127.70 W, 367 MiB, 100 %, 42 %
127.40 W, 367 MiB, 100 %, 45 %
127.31 W, 367 MiB, 100 %, 45 %
127.69 W, 367 MiB, 100 %, 45 %
127.59 W, 367 MiB, 100 %, 45 %
127.98 W, 367 MiB, 100 %, 45 %
127.98 W, 367 MiB, 100 %, 46 %
127.79 W, 367 MiB, 100 %, 46 %
127.40 W, 367 MiB, 100 %, 47 %
127.12 W, 367 MiB, 100 %, 47 %
127.79 W, 367 MiB, 100 %, 47 %
127.32 W, 367 MiB, 100 %, 46 %
127.61 W, 367 MiB, 100 %, 46 %
127.98 W, 367 MiB, 100 %, 46 %
127.41 W, 367 MiB, 100 %, 46 %
126.92 W, 367 MiB, 100 %, 47 %
127.50 W, 367 MiB, 100 %, 47 %
127.98 W, 367 MiB, 100 %, 47 %
127.69 W, 367 MiB, 100 %, 47 %
127.79 W, 367 MiB, 100 %, 47 %
127.88 W, 367 MiB, 100 %, 47 %
127.98 W, 367 MiB, 100 %, 47 %
127.88 W, 367 MiB, 100 %, 47 %
128.36 W, 367 MiB, 100 %, 46 %
128.17 W, 367 MiB, 100 %, 46 %
127.78 W, 367 MiB, 100 %, 47 %
127.69 W, 367 MiB, 100 %, 47 %
127.59 W, 367 MiB, 100 %, 46 %
127.59 W, 367 MiB, 100 %, 47 %
127.98 W, 367 MiB, 100 %, 47 %
128.07 W, 367 MiB, 100 %, 47 %
128.26 W, 367 MiB, 100 %, 47 %
128.27 W, 367 MiB, 100 %, 47 %
127.59 W, 367 MiB, 100 %, 47 %
127.98 W, 367 MiB, 100 %, 47 %
127.88 W, 367 MiB, 100 %, 47 %
127.98 W, 367 MiB, 100 %, 47 %
