power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
40.72 W, 22 MiB, 0 %, 0 %
40.71 W, 55 MiB, 0 %, 0 %
97.42 W, 625 MiB, 15 %, 9 %
98.53 W, 625 MiB, 15 %, 9 %
98.17 W, 625 MiB, 99 %, 77 %
98.56 W, 625 MiB, 99 %, 77 %
97.30 W, 625 MiB, 99 %, 77 %
98.95 W, 625 MiB, 99 %, 77 %
96.84 W, 625 MiB, 99 %, 77 %
99.14 W, 625 MiB, 99 %, 77 %
97.69 W, 625 MiB, 99 %, 77 %
98.62 W, 625 MiB, 99 %, 77 %
98.75 W, 625 MiB, 99 %, 77 %
98.75 W, 625 MiB, 99 %, 77 %
96.71 W, 625 MiB, 99 %, 77 %
98.46 W, 625 MiB, 99 %, 77 %
97.79 W, 625 MiB, 99 %, 77 %
98.53 W, 625 MiB, 99 %, 77 %
98.27 W, 625 MiB, 99 %, 77 %
97.69 W, 625 MiB, 99 %, 77 %
99.21 W, 625 MiB, 99 %, 77 %
98.46 W, 625 MiB, 99 %, 77 %
97.79 W, 625 MiB, 99 %, 77 %
98.82 W, 625 MiB, 99 %, 77 %
97.98 W, 625 MiB, 99 %, 77 %
97.69 W, 625 MiB, 99 %, 77 %
98.82 W, 625 MiB, 99 %, 77 %
98.08 W, 625 MiB, 99 %, 77 %
99.53 W, 625 MiB, 99 %, 77 %
97.79 W, 625 MiB, 99 %, 77 %
98.95 W, 625 MiB, 99 %, 77 %
98.66 W, 625 MiB, 99 %, 77 %
98.85 W, 625 MiB, 99 %, 77 %
98.95 W, 625 MiB, 99 %, 77 %
99.14 W, 625 MiB, 99 %, 77 %
96.94 W, 625 MiB, 99 %, 77 %
99.30 W, 625 MiB, 99 %, 77 %
98.56 W, 625 MiB, 99 %, 77 %
99.14 W, 625 MiB, 99 %, 77 %
99.33 W, 625 MiB, 99 %, 77 %
97.89 W, 625 MiB, 99 %, 77 %
99.62 W, 625 MiB, 99 %, 77 %
98.56 W, 625 MiB, 99 %, 77 %
99.43 W, 625 MiB, 99 %, 77 %
97.77 W, 625 MiB, 99 %, 77 %
99.24 W, 625 MiB, 99 %, 77 %
97.79 W, 625 MiB, 99 %, 77 %
98.85 W, 625 MiB, 99 %, 77 %
99.05 W, 625 MiB, 99 %, 77 %
98.93 W, 625 MiB, 99 %, 77 %
96.81 W, 625 MiB, 99 %, 77 %
99.53 W, 625 MiB, 99 %, 77 %
97.89 W, 625 MiB, 99 %, 77 %
98.33 W, 625 MiB, 99 %, 77 %
98.18 W, 625 MiB, 99 %, 77 %
98.85 W, 625 MiB, 99 %, 77 %
99.05 W, 625 MiB, 99 %, 77 %
98.85 W, 625 MiB, 99 %, 77 %
97.21 W, 625 MiB, 99 %, 77 %
99.11 W, 625 MiB, 99 %, 77 %
99.53 W, 625 MiB, 99 %, 77 %
97.58 W, 625 MiB, 99 %, 77 %
99.04 W, 625 MiB, 99 %, 77 %
98.93 W, 625 MiB, 99 %, 77 %
97.69 W, 625 MiB, 99 %, 77 %
96.26 W, 625 MiB, 98 %, 77 %
99.11 W, 625 MiB, 98 %, 77 %
97.88 W, 625 MiB, 99 %, 77 %
99.01 W, 625 MiB, 99 %, 77 %
98.27 W, 625 MiB, 99 %, 77 %
98.81 W, 625 MiB, 99 %, 77 %
96.90 W, 625 MiB, 99 %, 77 %
99.40 W, 625 MiB, 99 %, 77 %
98.18 W, 625 MiB, 99 %, 77 %
99.04 W, 625 MiB, 99 %, 77 %
98.46 W, 625 MiB, 99 %, 77 %
97.89 W, 625 MiB, 99 %, 77 %
99.51 W, 625 MiB, 99 %, 77 %
98.56 W, 625 MiB, 99 %, 77 %
99.62 W, 625 MiB, 99 %, 77 %
97.79 W, 625 MiB, 99 %, 77 %
99.43 W, 625 MiB, 99 %, 77 %
98.10 W, 625 MiB, 99 %, 77 %
98.84 W, 625 MiB, 99 %, 77 %
99.50 W, 625 MiB, 99 %, 77 %
98.75 W, 625 MiB, 99 %, 77 %
97.60 W, 625 MiB, 99 %, 77 %
98.14 W, 625 MiB, 99 %, 77 %
98.85 W, 625 MiB, 99 %, 77 %
97.98 W, 625 MiB, 99 %, 77 %
99.34 W, 625 MiB, 99 %, 77 %
98.75 W, 625 MiB, 99 %, 77 %
97.60 W, 625 MiB, 99 %, 77 %
99.33 W, 625 MiB, 99 %, 77 %
98.08 W, 625 MiB, 99 %, 77 %
99.71 W, 625 MiB, 99 %, 77 %
99.62 W, 625 MiB, 99 %, 77 %
97.98 W, 625 MiB, 99 %, 77 %
99.82 W, 625 MiB, 99 %, 77 %
98.75 W, 625 MiB, 99 %, 77 %
98.17 W, 625 MiB, 99 %, 77 %
96.74 W, 625 MiB, 99 %, 77 %
98.97 W, 625 MiB, 99 %, 77 %
99.05 W, 625 MiB, 99 %, 77 %
98.24 W, 625 MiB, 99 %, 77 %
99.63 W, 625 MiB, 99 %, 77 %
97.98 W, 625 MiB, 99 %, 77 %
100.01 W, 625 MiB, 99 %, 77 %
98.43 W, 625 MiB, 99 %, 77 %
98.46 W, 625 MiB, 99 %, 77 %
98.16 W, 625 MiB, 99 %, 77 %
98.82 W, 625 MiB, 99 %, 77 %
98.56 W, 625 MiB, 99 %, 77 %
99.03 W, 625 MiB, 99 %, 77 %
97.37 W, 625 MiB, 99 %, 77 %
99.59 W, 625 MiB, 99 %, 77 %
98.37 W, 625 MiB, 99 %, 77 %
99.21 W, 625 MiB, 99 %, 77 %
99.72 W, 625 MiB, 99 %, 77 %
98.26 W, 625 MiB, 99 %, 77 %
99.72 W, 625 MiB, 99 %, 77 %
98.85 W, 625 MiB, 99 %, 77 %
98.16 W, 625 MiB, 99 %, 77 %
98.05 W, 625 MiB, 99 %, 77 %
99.34 W, 625 MiB, 99 %, 77 %
12.850597381591797
