power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
49.35 W, 561 MiB, 14 %, 3 %
40.04 W, 561 MiB, 14 %, 3 %
40.91 W, 561 MiB, 15 %, 4 %
43.82 W, 561 MiB, 15 %, 4 %
54.07 W, 561 MiB, 15 %, 4 %
40.33 W, 561 MiB, 15 %, 4 %
42.17 W, 561 MiB, 15 %, 4 %
49.34 W, 561 MiB, 11 %, 3 %
40.14 W, 561 MiB, 14 %, 4 %
41.20 W, 561 MiB, 14 %, 4 %
45.96 W, 561 MiB, 15 %, 4 %
40.04 W, 561 MiB, 15 %, 4 %
41.11 W, 561 MiB, 16 %, 4 %
45.86 W, 561 MiB, 10 %, 3 %
40.14 W, 561 MiB, 10 %, 3 %
41.21 W, 561 MiB, 16 %, 4 %
46.83 W, 561 MiB, 16 %, 4 %
40.14 W, 561 MiB, 15 %, 4 %
41.59 W, 561 MiB, 10 %, 3 %
50.40 W, 561 MiB, 10 %, 3 %
40.33 W, 561 MiB, 15 %, 4 %
42.66 W, 561 MiB, 15 %, 4 %
55.74 W, 691 MiB, 15 %, 4 %
40.82 W, 561 MiB, 10 %, 3 %
46.35 W, 561 MiB, 10 %, 3 %
40.14 W, 561 MiB, 15 %, 4 %
42.17 W, 561 MiB, 15 %, 4 %
56.87 W, 691 MiB, 15 %, 4 %
41.01 W, 561 MiB, 11 %, 3 %
47.50 W, 561 MiB, 11 %, 3 %
40.23 W, 561 MiB, 15 %, 4 %
44.11 W, 561 MiB, 10 %, 3 %
40.04 W, 561 MiB, 10 %, 3 %
42.07 W, 561 MiB, 16 %, 4 %
59.20 W, 691 MiB, 10 %, 3 %
41.11 W, 561 MiB, 10 %, 3 %
51.46 W, 561 MiB, 16 %, 4 %
40.62 W, 561 MiB, 16 %, 4 %
47.13 W, 561 MiB, 11 %, 3 %
40.33 W, 561 MiB, 16 %, 4 %
44.89 W, 561 MiB, 16 %, 4 %
40.23 W, 561 MiB, 11 %, 3 %
44.02 W, 561 MiB, 11 %, 3 %
40.14 W, 561 MiB, 16 %, 5 %
42.66 W, 561 MiB, 11 %, 3 %
40.14 W, 561 MiB, 11 %, 3 %
42.75 W, 561 MiB, 17 %, 5 %
40.14 W, 561 MiB, 12 %, 3 %
43.34 W, 561 MiB, 12 %, 3 %
40.14 W, 561 MiB, 16 %, 5 %
43.24 W, 561 MiB, 16 %, 5 %
40.14 W, 561 MiB, 11 %, 3 %
45.28 W, 561 MiB, 13 %, 3 %
40.23 W, 561 MiB, 13 %, 3 %
47.31 W, 561 MiB, 16 %, 5 %
40.43 W, 561 MiB, 16 %, 5 %
48.76 W, 561 MiB, 11 %, 3 %
40.53 W, 561 MiB, 16 %, 5 %
51.76 W, 561 MiB, 16 %, 5 %
40.81 W, 561 MiB, 11 %, 3 %
57.94 W, 689 MiB, 11 %, 3 %
41.59 W, 561 MiB, 11 %, 3 %
40.05 W, 561 MiB, 18 %, 5 %
43.82 W, 561 MiB, 18 %, 5 %
40.23 W, 561 MiB, 11 %, 3 %
47.03 W, 561 MiB, 11 %, 3 %
40.53 W, 561 MiB, 11 %, 3 %
57.26 W, 691 MiB, 17 %, 5 %
42.17 W, 561 MiB, 13 %, 3 %
40.04 W, 561 MiB, 13 %, 3 %
45.57 W, 561 MiB, 11 %, 3 %
40.42 W, 561 MiB, 11 %, 3 %
54.17 W, 561 MiB, 13 %, 4 %
41.39 W, 561 MiB, 16 %, 4 %
40.04 W, 561 MiB, 16 %, 4 %
44.40 W, 561 MiB, 11 %, 3 %
40.33 W, 561 MiB, 11 %, 3 %
55.61 W, 561 MiB, 11 %, 3 %
41.50 W, 561 MiB, 16 %, 5 %
40.04 W, 561 MiB, 16 %, 5 %
45.86 W, 561 MiB, 12 %, 3 %
40.52 W, 561 MiB, 11 %, 3 %
59.28 W, 691 MiB, 11 %, 3 %
43.05 W, 561 MiB, 12 %, 3 %
40.33 W, 561 MiB, 12 %, 3 %
53.21 W, 561 MiB, 14 %, 5 %
41.39 W, 561 MiB, 14 %, 4 %
40.13 W, 561 MiB, 14 %, 4 %
48.75 W, 561 MiB, 12 %, 3 %
