power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
25.88 W, 22 MiB, 0 %, 0 %
25.88 W, 34 MiB, 0 %, 0 %
28.50 W, 51 MiB, 0 %, 0 %
38.28 W, 927 MiB, 0 %, 0 %
144.92 W, 927 MiB, 27 %, 2 %
162.47 W, 927 MiB, 100 %, 38 %
171.40 W, 927 MiB, 100 %, 38 %
172.26 W, 927 MiB, 100 %, 37 %
175.02 W, 927 MiB, 100 %, 37 %
174.92 W, 927 MiB, 100 %, 38 %
175.12 W, 927 MiB, 100 %, 38 %
174.06 W, 927 MiB, 100 %, 38 %
175.15 W, 927 MiB, 100 %, 38 %
174.73 W, 927 MiB, 100 %, 38 %
175.41 W, 927 MiB, 100 %, 37 %
175.21 W, 927 MiB, 100 %, 38 %
175.34 W, 927 MiB, 100 %, 38 %
173.00 W, 927 MiB, 100 %, 38 %
175.06 W, 927 MiB, 100 %, 38 %
173.13 W, 927 MiB, 100 %, 38 %
175.44 W, 927 MiB, 100 %, 38 %
175.63 W, 927 MiB, 100 %, 38 %
175.44 W, 927 MiB, 100 %, 38 %
175.54 W, 927 MiB, 100 %, 38 %
175.63 W, 927 MiB, 100 %, 38 %
175.63 W, 927 MiB, 100 %, 38 %
175.50 W, 927 MiB, 100 %, 38 %
175.63 W, 927 MiB, 100 %, 37 %
174.54 W, 927 MiB, 100 %, 38 %
175.63 W, 927 MiB, 100 %, 38 %
175.21 W, 927 MiB, 100 %, 38 %
175.82 W, 927 MiB, 100 %, 38 %
175.69 W, 927 MiB, 100 %, 38 %
175.69 W, 927 MiB, 100 %, 38 %
175.73 W, 927 MiB, 100 %, 38 %
175.73 W, 927 MiB, 100 %, 38 %
175.82 W, 927 MiB, 100 %, 38 %
175.73 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 37 %
175.82 W, 927 MiB, 100 %, 37 %
175.02 W, 927 MiB, 100 %, 38 %
175.82 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
173.42 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
174.67 W, 927 MiB, 100 %, 38 %
175.82 W, 927 MiB, 100 %, 38 %
175.25 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
175.82 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
175.92 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
173.55 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
174.96 W, 927 MiB, 100 %, 37 %
175.92 W, 927 MiB, 100 %, 37 %
175.92 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.02 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
174.83 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
175.50 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
174.08 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
175.12 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
175.98 W, 927 MiB, 100 %, 37 %
176.40 W, 927 MiB, 100 %, 37 %
176.21 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.21 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
175.21 W, 927 MiB, 100 %, 38 %
173.99 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
175.34 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.69 W, 927 MiB, 100 %, 38 %
174.67 W, 927 MiB, 100 %, 38 %
176.40 W, 927 MiB, 100 %, 38 %
175.73 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.88 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.98 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.50 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
175.31 W, 927 MiB, 100 %, 38 %
176.69 W, 927 MiB, 100 %, 38 %
176.08 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.30 W, 927 MiB, 100 %, 38 %
176.69 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.69 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.88 W, 927 MiB, 100 %, 38 %
176.59 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.69 W, 927 MiB, 100 %, 38 %
174.96 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.11 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
176.69 W, 927 MiB, 100 %, 38 %
176.79 W, 927 MiB, 100 %, 38 %
