power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
24.62 W, 22 MiB, 0 %, 0 %
24.62 W, 22 MiB, 0 %, 0 %
24.71 W, 48 MiB, 0 %, 0 %
35.97 W, 1539 MiB, 0 %, 0 %
58.13 W, 1539 MiB, 33 %, 4 %
59.49 W, 1539 MiB, 33 %, 4 %
59.11 W, 1539 MiB, 100 %, 30 %
59.78 W, 1539 MiB, 100 %, 29 %
59.78 W, 1539 MiB, 100 %, 29 %
59.68 W, 1539 MiB, 100 %, 28 %
59.58 W, 1539 MiB, 100 %, 28 %
60.16 W, 1539 MiB, 100 %, 28 %
59.68 W, 1539 MiB, 100 %, 28 %
59.39 W, 1539 MiB, 100 %, 28 %
60.07 W, 1539 MiB, 100 %, 28 %
59.68 W, 1539 MiB, 100 %, 28 %
59.48 W, 1539 MiB, 100 %, 28 %
59.97 W, 1539 MiB, 100 %, 28 %
59.48 W, 1539 MiB, 100 %, 28 %
59.58 W, 1539 MiB, 100 %, 28 %
59.97 W, 1539 MiB, 100 %, 28 %
59.48 W, 1539 MiB, 100 %, 28 %
59.39 W, 1539 MiB, 100 %, 28 %
59.78 W, 1539 MiB, 100 %, 28 %
59.29 W, 1539 MiB, 100 %, 28 %
59.29 W, 1539 MiB, 100 %, 28 %
59.39 W, 1539 MiB, 100 %, 28 %
59.58 W, 1539 MiB, 100 %, 28 %
59.39 W, 1539 MiB, 100 %, 28 %
59.39 W, 1539 MiB, 100 %, 28 %
59.58 W, 1539 MiB, 100 %, 28 %
59.29 W, 1539 MiB, 100 %, 28 %
59.20 W, 1539 MiB, 100 %, 28 %
59.68 W, 1539 MiB, 100 %, 28 %
59.29 W, 1539 MiB, 100 %, 28 %
59.00 W, 1539 MiB, 100 %, 28 %
59.00 W, 1539 MiB, 100 %, 28 %
59.48 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 28 %
58.90 W, 1539 MiB, 100 %, 28 %
59.58 W, 1539 MiB, 100 %, 27 %
59.29 W, 1539 MiB, 100 %, 27 %
59.00 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 28 %
59.10 W, 1539 MiB, 100 %, 28 %
58.81 W, 1539 MiB, 100 %, 27 %
59.00 W, 1539 MiB, 100 %, 27 %
59.29 W, 1539 MiB, 100 %, 27 %
59.29 W, 1539 MiB, 100 %, 27 %
58.81 W, 1539 MiB, 100 %, 27 %
59.00 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 27 %
58.71 W, 1539 MiB, 100 %, 27 %
58.81 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 27 %
59.10 W, 1539 MiB, 100 %, 27 %
58.71 W, 1539 MiB, 100 %, 27 %
58.71 W, 1539 MiB, 100 %, 27 %
59.10 W, 1539 MiB, 100 %, 27 %
58.81 W, 1539 MiB, 100 %, 27 %
58.81 W, 1539 MiB, 100 %, 27 %
58.51 W, 1539 MiB, 100 %, 27 %
59.10 W, 1539 MiB, 100 %, 27 %
58.81 W, 1539 MiB, 100 %, 27 %
58.71 W, 1539 MiB, 100 %, 27 %
59.10 W, 1539 MiB, 100 %, 27 %
59.58 W, 1539 MiB, 100 %, 27 %
59.48 W, 1539 MiB, 100 %, 27 %
59.29 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 27 %
59.68 W, 1539 MiB, 100 %, 27 %
59.10 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 27 %
59.58 W, 1539 MiB, 100 %, 26 %
59.29 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 27 %
59.48 W, 1539 MiB, 100 %, 27 %
59.19 W, 1539 MiB, 100 %, 26 %
59.10 W, 1539 MiB, 100 %, 26 %
58.90 W, 1539 MiB, 100 %, 26 %
59.48 W, 1539 MiB, 100 %, 26 %
59.10 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 26 %
58.91 W, 1539 MiB, 100 %, 26 %
59.39 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 26 %
59.19 W, 1539 MiB, 100 %, 26 %
58.90 W, 1539 MiB, 100 %, 26 %
58.81 W, 1539 MiB, 100 %, 26 %
59.39 W, 1539 MiB, 100 %, 26 %
59.10 W, 1539 MiB, 100 %, 26 %
58.61 W, 1539 MiB, 100 %, 26 %
58.81 W, 1539 MiB, 100 %, 26 %
58.81 W, 1539 MiB, 100 %, 26 %
59.29 W, 1539 MiB, 100 %, 26 %
58.91 W, 1539 MiB, 100 %, 26 %
58.61 W, 1539 MiB, 100 %, 26 %
58.71 W, 1539 MiB, 100 %, 26 %
59.19 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 26 %
58.72 W, 1539 MiB, 100 %, 26 %
58.71 W, 1539 MiB, 100 %, 26 %
58.90 W, 1539 MiB, 100 %, 26 %
59.00 W, 1539 MiB, 100 %, 26 %
58.81 W, 1539 MiB, 100 %, 26 %
58.52 W, 1539 MiB, 100 %, 26 %
58.42 W, 1539 MiB, 100 %, 26 %
58.51 W, 1539 MiB, 100 %, 26 %
58.51 W, 1539 MiB, 100 %, 26 %
58.90 W, 1539 MiB, 100 %, 26 %
58.81 W, 1539 MiB, 100 %, 25 %
58.42 W, 1539 MiB, 100 %, 25 %
58.33 W, 1539 MiB, 100 %, 25 %
58.33 W, 1539 MiB, 100 %, 25 %
58.42 W, 1539 MiB, 100 %, 25 %
58.81 W, 1539 MiB, 100 %, 25 %
58.51 W, 1539 MiB, 100 %, 25 %
58.22 W, 1539 MiB, 100 %, 25 %
58.32 W, 1539 MiB, 100 %, 25 %
58.22 W, 1539 MiB, 100 %, 25 %
58.33 W, 1539 MiB, 100 %, 25 %
58.71 W, 1539 MiB, 100 %, 25 %
58.42 W, 1539 MiB, 100 %, 25 %
58.32 W, 1539 MiB, 100 %, 25 %
58.04 W, 1539 MiB, 100 %, 25 %
58.13 W, 1539 MiB, 100 %, 25 %
58.13 W, 1539 MiB, 100 %, 25 %
58.12 W, 1539 MiB, 100 %, 25 %
58.42 W, 1539 MiB, 100 %, 25 %
58.43 W, 1539 MiB, 100 %, 25 %
58.13 W, 1539 MiB, 100 %, 25 %
57.84 W, 1539 MiB, 100 %, 25 %
57.93 W, 1539 MiB, 100 %, 25 %
57.93 W, 1539 MiB, 100 %, 25 %
58.03 W, 1539 MiB, 100 %, 25 %
58.42 W, 1539 MiB, 100 %, 25 %
58.03 W, 1539 MiB, 100 %, 25 %
58.13 W, 1539 MiB, 100 %, 25 %
57.74 W, 1539 MiB, 100 %, 25 %
57.83 W, 1539 MiB, 100 %, 25 %
57.75 W, 1539 MiB, 100 %, 25 %
57.83 W, 1539 MiB, 100 %, 25 %
58.22 W, 1539 MiB, 100 %, 24 %
58.13 W, 1539 MiB, 100 %, 24 %
57.94 W, 1539 MiB, 100 %, 24 %
57.65 W, 1539 MiB, 100 %, 24 %
57.45 W, 1539 MiB, 100 %, 24 %
57.55 W, 1539 MiB, 100 %, 24 %
57.54 W, 1539 MiB, 100 %, 24 %
58.03 W, 1539 MiB, 100 %, 24 %
57.54 W, 1539 MiB, 100 %, 24 %
57.26 W, 1539 MiB, 100 %, 24 %
57.45 W, 1539 MiB, 100 %, 24 %
58.03 W, 1539 MiB, 100 %, 24 %
57.75 W, 1539 MiB, 100 %, 24 %
57.83 W, 1539 MiB, 100 %, 24 %
