power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
24.42 W, 22 MiB, 0 %, 0 %
24.42 W, 22 MiB, 0 %, 0 %
24.42 W, 23 MiB, 0 %, 0 %
28.79 W, 53 MiB, 0 %, 0 %
35.68 W, 1103 MiB, 0 %, 0 %
72.98 W, 1103 MiB, 28 %, 1 %
102.76 W, 1103 MiB, 78 %, 45 %
110.23 W, 1103 MiB, 78 %, 45 %
111.68 W, 1103 MiB, 100 %, 68 %
113.32 W, 1103 MiB, 100 %, 68 %
114.65 W, 1103 MiB, 100 %, 68 %
111.77 W, 1103 MiB, 100 %, 69 %
110.90 W, 1103 MiB, 100 %, 69 %
111.77 W, 1103 MiB, 100 %, 68 %
113.40 W, 1103 MiB, 100 %, 68 %
114.65 W, 1103 MiB, 100 %, 67 %
111.48 W, 1103 MiB, 100 %, 69 %
114.08 W, 1103 MiB, 100 %, 69 %
116.72 W, 1103 MiB, 100 %, 68 %
112.43 W, 1103 MiB, 100 %, 68 %
115.62 W, 1103 MiB, 100 %, 68 %
114.38 W, 1103 MiB, 100 %, 68 %
115.82 W, 1103 MiB, 100 %, 68 %
114.56 W, 1103 MiB, 100 %, 68 %
114.46 W, 1103 MiB, 100 %, 68 %
115.23 W, 1103 MiB, 100 %, 68 %
115.52 W, 1103 MiB, 100 %, 69 %
113.88 W, 1103 MiB, 100 %, 69 %
113.88 W, 1103 MiB, 100 %, 68 %
115.21 W, 1103 MiB, 100 %, 67 %
116.37 W, 1103 MiB, 100 %, 67 %
116.53 W, 1103 MiB, 100 %, 69 %
115.85 W, 1103 MiB, 100 %, 68 %
114.85 W, 1103 MiB, 100 %, 68 %
118.84 W, 1103 MiB, 100 %, 69 %
114.46 W, 1103 MiB, 100 %, 69 %
115.82 W, 1103 MiB, 100 %, 69 %
114.75 W, 1103 MiB, 100 %, 68 %
114.75 W, 1103 MiB, 100 %, 68 %
117.20 W, 1103 MiB, 100 %, 68 %
114.36 W, 1103 MiB, 100 %, 69 %
117.01 W, 1103 MiB, 100 %, 69 %
115.72 W, 1103 MiB, 100 %, 68 %
117.88 W, 1103 MiB, 100 %, 68 %
114.65 W, 1103 MiB, 100 %, 69 %
115.14 W, 1103 MiB, 100 %, 68 %
116.47 W, 1103 MiB, 100 %, 68 %
114.17 W, 1103 MiB, 100 %, 68 %
117.39 W, 1103 MiB, 100 %, 68 %
112.63 W, 1103 MiB, 100 %, 68 %
117.59 W, 1103 MiB, 100 %, 68 %
114.37 W, 1103 MiB, 100 %, 68 %
116.28 W, 1103 MiB, 100 %, 68 %
115.79 W, 1103 MiB, 100 %, 69 %
115.60 W, 1103 MiB, 100 %, 69 %
117.88 W, 1103 MiB, 100 %, 68 %
116.28 W, 1103 MiB, 100 %, 68 %
116.82 W, 1103 MiB, 100 %, 68 %
