power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
39.84 W, 22 MiB, 0 %, 0 %
39.94 W, 48 MiB, 0 %, 0 %
52.05 W, 373 MiB, 0 %, 0 %
52.63 W, 373 MiB, 72 %, 3 %
52.53 W, 373 MiB, 72 %, 3 %
52.14 W, 373 MiB, 100 %, 5 %
51.27 W, 373 MiB, 100 %, 5 %
50.88 W, 373 MiB, 100 %, 5 %
49.91 W, 373 MiB, 100 %, 4 %
49.43 W, 373 MiB, 100 %, 4 %
48.84 W, 373 MiB, 100 %, 4 %
48.36 W, 373 MiB, 100 %, 4 %
47.40 W, 373 MiB, 100 %, 4 %
46.43 W, 373 MiB, 100 %, 3 %
45.75 W, 373 MiB, 100 %, 3 %
44.99 W, 373 MiB, 100 %, 3 %
43.82 W, 373 MiB, 100 %, 3 %
42.56 W, 373 MiB, 100 %, 3 %
41.79 W, 373 MiB, 100 %, 1 %
40.53 W, 373 MiB, 100 %, 0 %
2.0173561573028564
