start,duration,threads_x,threads_y,threads_z
0.324641,0.000118,256.0,1.0,1.0
0.32561,0.000118,256.0,1.0,1.0
0.326498,0.000117,256.0,1.0,1.0
0.327404,0.00012,256.0,1.0,1.0
0.328283,0.00012,256.0,1.0,1.0
0.329188,0.000118,256.0,1.0,1.0
0.330087,0.000133,256.0,1.0,1.0
0.330981,0.000132,256.0,1.0,1.0
0.331862,0.000133,256.0,1.0,1.0
0.332814,0.000131,256.0,1.0,1.0
0.333687,0.000132,256.0,1.0,1.0
0.334566,0.000134,256.0,1.0,1.0
0.335501,0.000146,256.0,1.0,1.0
0.33638,0.000146,256.0,1.0,1.0
0.337255,0.000147,256.0,1.0,1.0
0.338136,0.000147,256.0,1.0,1.0
0.339013,0.000148,256.0,1.0,1.0
0.33991,0.000147,256.0,1.0,1.0
0.340826,9.1e-05,256.0,1.0,1.0
0.341662,9.2e-05,256.0,1.0,1.0
0.342495,9.1e-05,256.0,1.0,1.0
0.34332,9.2e-05,256.0,1.0,1.0
0.344161,9.1e-05,256.0,1.0,1.0
0.344981,9.1e-05,256.0,1.0,1.0
0.345828,0.000102,256.0,1.0,1.0
0.345964,9.2e-05,256.0,1.0,1.0
0.346805,0.000101,256.0,1.0,1.0
0.346939,9.2e-05,256.0,1.0,1.0
0.347772,0.000101,256.0,1.0,1.0
0.347907,9.2e-05,256.0,1.0,1.0
0.348746,0.000103,256.0,1.0,1.0
0.348882,9.1e-05,256.0,1.0,1.0
0.34971,0.000102,256.0,1.0,1.0
0.349846,9.3e-05,256.0,1.0,1.0
0.350676,0.000102,256.0,1.0,1.0
0.350811,9.2e-05,256.0,1.0,1.0
0.351666,0.000116,256.0,1.0,1.0
0.351814,0.00012,256.0,1.0,1.0
0.352666,0.000114,256.0,1.0,1.0
0.352814,0.00012,256.0,1.0,1.0
0.353663,0.000115,256.0,1.0,1.0
0.353813,0.000118,256.0,1.0,1.0
0.354664,0.000114,256.0,1.0,1.0
0.35481,0.000118,256.0,1.0,1.0
0.35567,0.000115,256.0,1.0,1.0
0.355819,0.000118,256.0,1.0,1.0
0.356679,0.000115,256.0,1.0,1.0
0.356827,0.000118,256.0,1.0,1.0
0.357737,0.000118,256.0,1.0,1.0
0.358614,0.000118,256.0,1.0,1.0
0.359491,0.000118,256.0,1.0,1.0
0.360338,0.000117,256.0,1.0,1.0
0.361189,0.000117,256.0,1.0,1.0
0.36204,0.000118,256.0,1.0,1.0
0.362947,0.000132,256.0,1.0,1.0
0.363113,9.4e-05,256.0,1.0,1.0
0.363948,0.000133,256.0,1.0,1.0
0.364114,9.3e-05,256.0,1.0,1.0
0.364945,0.00013,256.0,1.0,1.0
0.365108,9.1e-05,256.0,1.0,1.0
0.365938,0.000132,256.0,1.0,1.0
0.366102,9.1e-05,256.0,1.0,1.0
0.366939,0.000133,256.0,1.0,1.0
0.367106,9.1e-05,256.0,1.0,1.0
0.367942,0.000132,256.0,1.0,1.0
0.368107,9.1e-05,256.0,1.0,1.0
0.369014,0.000135,256.0,1.0,1.0
0.369183,0.000102,256.0,1.0,1.0
0.369314,9.3e-05,256.0,1.0,1.0
0.370149,0.000136,256.0,1.0,1.0
0.370318,0.000101,256.0,1.0,1.0
0.370455,9.1e-05,256.0,1.0,1.0
0.371294,0.000135,256.0,1.0,1.0
0.371468,0.000101,256.0,1.0,1.0
0.371598,9.2e-05,256.0,1.0,1.0
0.372434,0.000134,256.0,1.0,1.0
0.372604,0.000102,256.0,1.0,1.0
0.372735,9.2e-05,256.0,1.0,1.0
0.373581,0.000135,256.0,1.0,1.0
0.373748,0.000101,256.0,1.0,1.0
0.373877,9.2e-05,256.0,1.0,1.0
0.374721,0.000135,256.0,1.0,1.0
0.374888,0.000103,256.0,1.0,1.0
0.37502,9.2e-05,256.0,1.0,1.0
0.375889,0.000146,256.0,1.0,1.0
0.376067,0.000101,256.0,1.0,1.0
0.376198,9.1e-05,256.0,1.0,1.0
0.377024,0.000146,256.0,1.0,1.0
0.377203,0.0001,256.0,1.0,1.0
0.377332,9.1e-05,256.0,1.0,1.0
0.378164,0.000145,256.0,1.0,1.0
0.378341,0.000102,256.0,1.0,1.0
0.378486,9.1e-05,256.0,1.0,1.0
0.37931,0.000146,256.0,1.0,1.0
0.379491,0.000101,256.0,1.0,1.0
0.379622,9.1e-05,256.0,1.0,1.0
0.380459,0.000143,256.0,1.0,1.0
0.380638,0.000102,256.0,1.0,1.0
0.380769,9.1e-05,256.0,1.0,1.0
0.381604,0.000147,256.0,1.0,1.0
0.381784,0.000102,256.0,1.0,1.0
0.381915,9.1e-05,256.0,1.0,1.0
0.382781,0.000116,256.0,1.0,1.0
0.383647,0.000116,256.0,1.0,1.0
0.384501,0.000117,256.0,1.0,1.0
0.385347,0.000116,256.0,1.0,1.0
0.3862,0.000116,256.0,1.0,1.0
0.387071,0.000117,256.0,1.0,1.0
0.387961,0.000117,256.0,1.0,1.0
0.388829,0.000117,256.0,1.0,1.0
0.389692,0.000117,256.0,1.0,1.0
0.390563,0.000116,256.0,1.0,1.0
0.391406,0.000114,256.0,1.0,1.0
0.392258,0.000115,256.0,1.0,1.0
