power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
26.87 W, 0 MiB, 0 %, 0 %
34.42 W, 63 MiB, 0 %, 0 %
37.35 W, 295 MiB, 12 %, 1 %
37.11 W, 295 MiB, 12 %, 1 %
37.11 W, 295 MiB, 33 %, 2 %
37.84 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.59 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.59 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
38.09 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.62 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.59 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
37.84 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 32 %, 2 %
37.35 W, 295 MiB, 32 %, 2 %
37.84 W, 295 MiB, 33 %, 2 %
37.11 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
36.86 W, 295 MiB, 33 %, 2 %
37.35 W, 295 MiB, 33 %, 2 %
