power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
28.34 W, 0 MiB, 0 %, 0 %
36.38 W, 265 MiB, 3 %, 0 %
129.91 W, 555 MiB, 3 %, 0 %
135.40 W, 555 MiB, 66 %, 2 %
135.89 W, 555 MiB, 66 %, 2 %
136.13 W, 555 MiB, 100 %, 0 %
136.62 W, 555 MiB, 100 %, 0 %
136.62 W, 555 MiB, 100 %, 0 %
136.86 W, 555 MiB, 100 %, 0 %
136.86 W, 555 MiB, 100 %, 0 %
136.86 W, 555 MiB, 100 %, 0 %
137.10 W, 555 MiB, 100 %, 0 %
137.35 W, 555 MiB, 100 %, 0 %
137.35 W, 555 MiB, 100 %, 0 %
137.83 W, 555 MiB, 100 %, 0 %
137.83 W, 555 MiB, 100 %, 0 %
138.07 W, 555 MiB, 100 %, 0 %
138.07 W, 555 MiB, 100 %, 0 %
138.56 W, 555 MiB, 100 %, 0 %
138.80 W, 555 MiB, 100 %, 0 %
138.80 W, 555 MiB, 100 %, 0 %
139.04 W, 555 MiB, 100 %, 1 %
139.04 W, 555 MiB, 100 %, 1 %
139.29 W, 555 MiB, 100 %, 1 %
139.53 W, 555 MiB, 100 %, 1 %
139.77 W, 555 MiB, 100 %, 1 %
139.53 W, 555 MiB, 100 %, 1 %
140.01 W, 555 MiB, 100 %, 1 %
139.77 W, 555 MiB, 100 %, 1 %
140.01 W, 555 MiB, 100 %, 1 %
140.26 W, 555 MiB, 100 %, 1 %
140.26 W, 555 MiB, 100 %, 1 %
140.50 W, 555 MiB, 100 %, 1 %
140.48 W, 555 MiB, 100 %, 1 %
140.48 W, 555 MiB, 100 %, 1 %
140.50 W, 555 MiB, 100 %, 1 %
140.74 W, 555 MiB, 100 %, 1 %
140.74 W, 555 MiB, 100 %, 1 %
141.23 W, 555 MiB, 100 %, 1 %
141.23 W, 555 MiB, 100 %, 2 %
134.68 W, 555 MiB, 100 %, 2 %
143.56 W, 555 MiB, 100 %, 2 %
143.80 W, 555 MiB, 100 %, 2 %
143.80 W, 555 MiB, 100 %, 2 %
143.80 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.04 W, 555 MiB, 100 %, 2 %
144.29 W, 555 MiB, 100 %, 2 %
144.29 W, 555 MiB, 100 %, 2 %
144.29 W, 555 MiB, 100 %, 2 %
144.29 W, 555 MiB, 100 %, 2 %
144.29 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.53 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
144.77 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
145.01 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
145.26 W, 555 MiB, 100 %, 2 %
