start,duration,direction,throughput
0.460449,0.00077,0,5.081243
0.461468,0.000807,0,4.849551
0.462287,1e-06,0,2.594037
0.462297,1e-06,0,2.594037
0.843715,1e-06,0,0.003638
0.843723,0.001335,1,2.931001
