,loss,acc,val_loss,val_acc
0,1.5755704656431946,0.2637130916118622,1.3606289625167847,0.17610062658786774
1,1.443307508396197,0.3037974536418915,1.2666757106781006,0.37735849618911743
2,1.3021061425470601,0.3987341821193695,1.1889079809188843,0.4150943458080292
3,1.2140559063682073,0.4767932593822479,1.1396337747573853,0.44025155901908875
4,1.1564326351704979,0.5421940684318542,1.1081515550613403,0.5723270177841187
5,1.0377060396258841,0.6097046136856079,1.0534418821334839,0.6540880799293518
6,0.9800840415029083,0.7088607549667358,1.026220679283142,0.6792452931404114
7,0.8893294651297075,0.7405063509941101,0.895145833492279,0.6918238997459412
8,0.809757325468184,0.75527423620224,0.8707156181335449,0.7610062956809998
9,0.7006451517720765,0.7911392450332642,0.9133886098861694,0.7861635088920593
10,0.6744903698249205,0.8080168962478638,0.8700143098831177,0.8364779949188232
11,0.5867200662315143,0.8607594966888428,0.7761445641517639,0.8176100850105286
12,0.565464210158159,0.8333333134651184,0.7062941789627075,0.8364779949188232
13,0.4725167327540836,0.8818565607070923,0.7215591073036194,0.9119496941566467
14,0.41929194758712995,0.8966244459152222,0.539884090423584,0.9182389974594116
15,0.3440667224835746,0.9113923907279968,0.4744357168674469,0.9119496941566467
16,0.2967161551306519,0.9156118035316467,0.6633931398391724,0.9433962106704712
17,0.3618482331183389,0.9240506291389465,0.7134873867034912,0.8113207817077637
18,0.5818024239962614,0.8248944878578186,0.5766386389732361,0.8679245114326477
19,0.35674623824373075,0.8987341523170471,0.7742908596992493,0.9371069073677063
20,0.5999780849313937,0.9282700419425964,0.5604740977287292,0.8553459048271179
21,0.498336087550795,0.8544303774833679,0.6587836146354675,0.8616352081298828
22,0.4594310518307022,0.8734177350997925,0.6418029069900513,0.9245283007621765
23,0.37371860287360503,0.947257399559021,0.7238008379936218,0.9622641801834106
24,0.41893466037033983,0.9535865187644958,0.3970399796962738,0.9182389974594116
25,0.4066591245212635,0.8860759735107422,0.6148266792297363,0.849056601524353
26,0.4481339859560069,0.8649789094924927,0.43023476004600525,0.9308176040649414
27,0.458497200082626,0.9113923907279968,0.7390187382698059,0.9433962106704712
28,0.5074099639297035,0.9324894547462463,0.48789718747138977,0.9182389974594116
29,0.33633859663070004,0.8902953863143921,0.6058233976364136,0.805031418800354
30,0.42646458531230813,0.8312236070632935,0.5440778732299805,0.8616352081298828
31,0.3027164664449571,0.8902953863143921,0.6789695024490356,0.9308176040649414
32,0.3013383018065102,0.9430379867553711,0.581525981426239,0.955974817276001
33,0.22564979608048868,0.9641350507736206,0.3645610213279724,0.9622641801834106
