start,duration,threads_x,threads_y,threads_z
0.368213,2e-05,6144.0,1.0,1.0
0.368256,0.023203,6144.0,6144.0,1.0
0.391481,1.6e-05,6144.0,1.0,1.0
0.391513,0.024524,6144.0,6144.0,1.0
0.41606,1.6e-05,6144.0,1.0,1.0
0.416093,0.024536,6144.0,6144.0,1.0
0.440648,1.5e-05,6144.0,1.0,1.0
0.440679,0.024518,6144.0,6144.0,1.0
0.465213,1.6e-05,6144.0,1.0,1.0
0.465245,0.023165,6144.0,6144.0,1.0
0.488427,1.6e-05,6144.0,1.0,1.0
0.488462,0.024483,6144.0,6144.0,1.0
0.512963,1.5e-05,6144.0,1.0,1.0
0.512994,0.024533,6144.0,6144.0,1.0
0.537546,1.6e-05,6144.0,1.0,1.0
0.537578,0.02448,6144.0,6144.0,1.0
0.562086,1.6e-05,6144.0,1.0,1.0
0.562119,0.023139,6144.0,6144.0,1.0
0.585286,1.5e-05,6144.0,1.0,1.0
0.585319,0.024489,6144.0,6144.0,1.0
0.609826,1.6e-05,6144.0,1.0,1.0
0.609857,0.02448,6144.0,6144.0,1.0
0.634363,1.6e-05,6144.0,1.0,1.0
0.634395,0.024454,6144.0,6144.0,1.0
0.658866,1.6e-05,6144.0,1.0,1.0
0.658899,0.023107,6144.0,6144.0,1.0
0.682024,1.6e-05,6144.0,1.0,1.0
0.682056,0.024434,6144.0,6144.0,1.0
0.70651,1.6e-05,6144.0,1.0,1.0
0.706542,0.024446,6144.0,6144.0,1.0
0.731011,1.5e-05,6144.0,1.0,1.0
0.731044,0.024417,6144.0,6144.0,1.0
0.755488,1.6e-05,6144.0,1.0,1.0
0.75552,0.023084,6144.0,6144.0,1.0
0.778622,1.6e-05,6144.0,1.0,1.0
0.778654,0.024428,6144.0,6144.0,1.0
0.803101,1.6e-05,6144.0,1.0,1.0
0.803134,0.024411,6144.0,6144.0,1.0
0.827566,1.6e-05,6144.0,1.0,1.0
0.827599,0.0244,6144.0,6144.0,1.0
0.852017,1.6e-05,6144.0,1.0,1.0
0.85205,0.023051,6144.0,6144.0,1.0
0.875119,1.6e-05,6144.0,1.0,1.0
0.875152,0.024422,6144.0,6144.0,1.0
0.899593,1.5e-05,6144.0,1.0,1.0
0.899625,0.024375,6144.0,6144.0,1.0
0.924022,1.6e-05,6144.0,1.0,1.0
0.924054,0.024389,6144.0,6144.0,1.0
0.948466,1.6e-05,6144.0,1.0,1.0
0.948498,0.023023,6144.0,6144.0,1.0
0.971546,1.6e-05,6144.0,1.0,1.0
