power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
23.94 W, 0 MiB, 0 %, 0 %
31.25 W, 265 MiB, 0 %, 0 %
32.22 W, 761 MiB, 0 %, 0 %
85.40 W, 761 MiB, 7 %, 0 %
86.38 W, 761 MiB, 87 %, 57 %
84.68 W, 761 MiB, 87 %, 57 %
85.40 W, 761 MiB, 96 %, 66 %
84.92 W, 761 MiB, 96 %, 66 %
85.16 W, 761 MiB, 96 %, 66 %
84.92 W, 761 MiB, 97 %, 66 %
84.68 W, 761 MiB, 97 %, 66 %
83.46 W, 761 MiB, 96 %, 66 %
86.15 W, 761 MiB, 96 %, 66 %
87.07 W, 761 MiB, 96 %, 66 %
85.89 W, 761 MiB, 96 %, 66 %
85.16 W, 761 MiB, 96 %, 66 %
83.66 W, 761 MiB, 96 %, 66 %
83.23 W, 761 MiB, 97 %, 66 %
80.07 W, 761 MiB, 97 %, 66 %
83.21 W, 761 MiB, 97 %, 66 %
85.40 W, 761 MiB, 96 %, 66 %
84.43 W, 761 MiB, 96 %, 66 %
82.97 W, 761 MiB, 96 %, 65 %
36.35 W, 459 MiB, 96 %, 65 %
2.4191670417785645
