power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
23.45 W, 0 MiB, 0 %, 0 %
30.76 W, 63 MiB, 0 %, 0 %
31.73 W, 265 MiB, 3 %, 0 %
31.97 W, 265 MiB, 0 %, 0 %
31.97 W, 265 MiB, 0 %, 0 %
31.73 W, 265 MiB, 0 %, 0 %
43.66 W, 281 MiB, 0 %, 0 %
109.35 W, 281 MiB, 0 %, 0 %
109.58 W, 281 MiB, 94 %, 50 %
109.52 W, 281 MiB, 94 %, 50 %
109.59 W, 281 MiB, 100 %, 54 %
32.46 W, 281 MiB, 71 %, 38 %
31.97 W, 281 MiB, 71 %, 38 %
31.98 W, 281 MiB, 0 %, 0 %
31.73 W, 281 MiB, 0 %, 0 %
1.5476698875427246
