power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
23.45 W, 0 MiB, 0 %, 0 %
23.44 W, 18 MiB, 0 %, 0 %
47.54 W, 397 MiB, 28 %, 2 %
50.47 W, 397 MiB, 28 %, 2 %
50.95 W, 397 MiB, 100 %, 11 %
51.20 W, 397 MiB, 100 %, 11 %
51.20 W, 397 MiB, 100 %, 12 %
51.69 W, 397 MiB, 100 %, 13 %
51.69 W, 397 MiB, 100 %, 13 %
51.44 W, 397 MiB, 100 %, 12 %
51.69 W, 397 MiB, 100 %, 12 %
51.93 W, 397 MiB, 100 %, 13 %
51.20 W, 397 MiB, 100 %, 14 %
51.20 W, 397 MiB, 100 %, 14 %
51.44 W, 397 MiB, 100 %, 14 %
51.20 W, 397 MiB, 100 %, 14 %
50.95 W, 397 MiB, 100 %, 14 %
50.22 W, 397 MiB, 100 %, 14 %
49.98 W, 397 MiB, 100 %, 14 %
49.74 W, 397 MiB, 100 %, 12 %
49.74 W, 397 MiB, 100 %, 12 %
49.74 W, 397 MiB, 100 %, 12 %
49.74 W, 397 MiB, 100 %, 12 %
49.25 W, 397 MiB, 100 %, 12 %
49.49 W, 397 MiB, 100 %, 12 %
49.00 W, 397 MiB, 100 %, 12 %
48.76 W, 397 MiB, 100 %, 12 %
48.52 W, 397 MiB, 100 %, 12 %
48.52 W, 397 MiB, 100 %, 12 %
48.27 W, 397 MiB, 100 %, 12 %
48.03 W, 397 MiB, 100 %, 12 %
47.54 W, 397 MiB, 100 %, 11 %
47.30 W, 397 MiB, 100 %, 11 %
46.83 W, 397 MiB, 100 %, 10 %
46.83 W, 397 MiB, 100 %, 10 %
46.59 W, 397 MiB, 100 %, 10 %
46.35 W, 397 MiB, 100 %, 10 %
46.32 W, 397 MiB, 100 %, 10 %
45.83 W, 397 MiB, 100 %, 10 %
45.86 W, 397 MiB, 100 %, 10 %
45.86 W, 397 MiB, 100 %, 10 %
45.61 W, 397 MiB, 100 %, 10 %
45.37 W, 397 MiB, 100 %, 10 %
45.12 W, 397 MiB, 100 %, 9 %
44.88 W, 397 MiB, 100 %, 9 %
44.64 W, 397 MiB, 100 %, 9 %
44.39 W, 397 MiB, 100 %, 9 %
44.15 W, 397 MiB, 100 %, 9 %
43.91 W, 397 MiB, 100 %, 9 %
43.66 W, 397 MiB, 100 %, 8 %
43.42 W, 397 MiB, 100 %, 8 %
42.94 W, 397 MiB, 100 %, 8 %
42.69 W, 397 MiB, 100 %, 8 %
42.45 W, 397 MiB, 100 %, 8 %
42.21 W, 397 MiB, 100 %, 7 %
42.21 W, 397 MiB, 100 %, 7 %
41.96 W, 397 MiB, 100 %, 7 %
41.72 W, 397 MiB, 100 %, 7 %
41.23 W, 397 MiB, 100 %, 7 %
40.99 W, 397 MiB, 100 %, 6 %
40.74 W, 397 MiB, 100 %, 6 %
40.50 W, 397 MiB, 100 %, 6 %
40.25 W, 397 MiB, 100 %, 6 %
40.25 W, 397 MiB, 100 %, 6 %
39.52 W, 397 MiB, 100 %, 5 %
39.28 W, 397 MiB, 100 %, 5 %
39.03 W, 397 MiB, 100 %, 5 %
38.79 W, 397 MiB, 100 %, 5 %
38.55 W, 397 MiB, 100 %, 4 %
38.06 W, 397 MiB, 100 %, 4 %
37.81 W, 397 MiB, 100 %, 4 %
37.81 W, 397 MiB, 100 %, 4 %
37.57 W, 397 MiB, 100 %, 4 %
37.57 W, 397 MiB, 100 %, 4 %
37.33 W, 397 MiB, 100 %, 4 %
36.84 W, 397 MiB, 100 %, 3 %
36.59 W, 397 MiB, 100 %, 3 %
36.12 W, 397 MiB, 100 %, 3 %
35.88 W, 397 MiB, 100 %, 2 %
35.63 W, 397 MiB, 100 %, 2 %
35.15 W, 397 MiB, 100 %, 2 %
34.17 W, 397 MiB, 100 %, 2 %
33.68 W, 397 MiB, 100 %, 2 %
32.95 W, 397 MiB, 100 %, 1 %
32.70 W, 397 MiB, 100 %, 1 %
8.773508071899414
