start,duration,threads_x,threads_y,threads_z
10.794743,9.6e-05,8388608.0,1.0,1.0
10.794857,9.3e-05,8388608.0,1.0,1.0
10.794989,9.3e-05,8388608.0,1.0,1.0
10.7951,9.3e-05,8388608.0,1.0,1.0
10.795231,9.8e-05,8388608.0,1.0,1.0
10.795343,9.3e-05,8388608.0,1.0,1.0
10.795473,0.000102,8388608.0,1.0,1.0
10.795588,9.4e-05,8388608.0,1.0,1.0
10.795718,0.00012,8388608.0,1.0,1.0
10.79585,9.7e-05,8388608.0,1.0,1.0
10.795985,0.000149,8388608.0,1.0,1.0
10.796147,0.000104,8388608.0,1.0,1.0
10.796285,0.000352,8388608.0,1.0,1.0
10.796649,0.000297,8388608.0,1.0,1.0
10.796987,0.001383,8388608.0,1.0,1.0
10.798383,0.000709,8388608.0,1.0,1.0
10.799134,0.00644,8388608.0,1.0,1.0
10.805589,0.000766,8388608.0,1.0,1.0
10.806396,0.018211,8388608.0,1.0,1.0
10.824626,0.000768,8388608.0,1.0,1.0
10.825432,0.010544,8388608.0,1.0,1.0
10.835995,0.000685,8388608.0,1.0,1.0
10.836719,0.00129,8388608.0,1.0,1.0
10.838025,9.3e-05,8388608.0,1.0,1.0
10.838154,0.000104,8388608.0,1.0,1.0
10.838271,9.3e-05,8388608.0,1.0,1.0
