start,duration,direction,throughput
0.447076,0.002822,0,8.30503
0.450029,0.002819,0,8.313042
0.459878,4.6e-05,2,170.018063
0.459924,4.5e-05,2,174.760648
0.460448,0.008654,1,2.708146
0.470284,0.008636,1,2.713966
