threadFenceReduction,1,threadFenceReduction, -n=16777216
threadFenceReduction,2,threadFenceReduction, -n=33554432
threadFenceReduction,3,threadFenceReduction, -n=20000000
threadFenceReduction,4,threadFenceReduction, -n=30000000
threadFenceReduction,5,threadFenceReduction, -n=40000000
threadFenceReduction,6,threadFenceReduction, -n=25000000
threadFenceReduction,7,threadFenceReduction, -n=35000000
threadFenceReduction,8,threadFenceReduction, -n=51200000
threadFenceReduction,9,threadFenceReduction, -n=50000000
tpacf,1,tpacf,Datapnts.1 -n 100 -p 4096
tpacf,2,tpacf,Datapnts.1 -n 100 -p 8192
tpacf,3,tpacf,Datapnts.1 -n 1000 -p 4096
tpacf,4,tpacf,Datapnts.1 -n 1000 -p 8192
tpacf,5,tpacf,Datapnts.1 -n 100 -p 16384
tpacf,6,tpacf,Datapnts.1 -n 200 -p 16384
tpacf,7,tpacf,Datapnts.1 -n 1000 -p 40960
tpacf,8,tpacf,Datapnts.1 -n 200 -p 40960
tpacf,9,tpacf,Datapnts.1 -n 3000 -p 40960
transpose,1,transpose,-dimX=1024 -dimY=1024
transpose,2,transpose,-dimX=2048 -dimY=2048
transpose,3,transpose,-dimX=4096 -dimY=4096
transpose,4,transpose,-dimX=8192 -dimY=8192
transpose,5,transpose,-dimX=16384 -dimY=16384
transpose,6,transpose,-dimX=5000 -dimY=5000
transpose,7,transpose,-dimX=5120 -dimY=5120
transpose,8,transpose,-dimX=10000 -dimY=10000
transpose,9,transpose,-dimX=8000 -dimY=8000
transpose,10,transpose,-dimX=6000 -dimY=6000
CoMD,1,bin/CoMD-cuda,-e -x 64 -y 64 -z 64
CoMD,2,bin/CoMD-cuda,-e -x 32 -y 32 -z 32
CoMD,3,bin/CoMD-cuda,-e -x 40 -y 40 -z 40
CoMD,4,bin/CoMD-cuda,-e -x 48 -y 48 -z 48
CoMD,5,bin/CoMD-cuda,-e -x 56 -y 56 -z 56
CoMD,6,bin/CoMD-cuda,-e -x 72 -y 72 -z 72
CoMD,7,bin/CoMD-cuda,-e -x 80 -y 80 -z 80
CoMD,8,bin/CoMD-cuda,-x 32 -y 32 -z 32
CoMD,9,bin/CoMD-cuda,-x 64 -y 64 -z 64
CoMD,10,bin/CoMD-cuda,-x 48 -y 48 -z 48
