power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.88 W, 0 MiB, 0 %, 0 %
61.46 W, 76 MiB, 0 %, 0 %
103.69 W, 76 MiB, 73 %, 0 %
111.44 W, 76 MiB, 73 %, 0 %
112.48 W, 76 MiB, 100 %, 0 %
112.79 W, 76 MiB, 100 %, 0 %
112.86 W, 76 MiB, 100 %, 0 %
112.96 W, 76 MiB, 100 %, 0 %
112.96 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.07 W, 76 MiB, 100 %, 0 %
113.07 W, 76 MiB, 100 %, 0 %
113.07 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.07 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.07 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.17 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.17 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.17 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.17 W, 76 MiB, 100 %, 0 %
113.17 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.17 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.15 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.36 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.27 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
113.05 W, 76 MiB, 100 %, 0 %
113.25 W, 76 MiB, 100 %, 0 %
