power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.88 W, 0 MiB, 0 %, 0 %
42.76 W, 75 MiB, 0 %, 0 %
58.72 W, 75 MiB, 1 %, 0 %
75.23 W, 122 MiB, 2 %, 0 %
117.50 W, 122 MiB, 2 %, 0 %
125.50 W, 122 MiB, 100 %, 30 %
126.94 W, 122 MiB, 100 %, 30 %
127.52 W, 122 MiB, 100 %, 30 %
126.84 W, 122 MiB, 100 %, 30 %
126.84 W, 122 MiB, 100 %, 30 %
127.23 W, 122 MiB, 100 %, 30 %
127.61 W, 122 MiB, 100 %, 30 %
127.52 W, 122 MiB, 100 %, 30 %
126.94 W, 122 MiB, 100 %, 30 %
127.23 W, 122 MiB, 100 %, 30 %
127.52 W, 122 MiB, 100 %, 30 %
128.10 W, 122 MiB, 100 %, 30 %
106.79 W, 122 MiB, 100 %, 29 %
98.72 W, 122 MiB, 100 %, 29 %
80.44 W, 122 MiB, 100 %, 10 %
1.9712119102478027
